gene	S16FT	S16P	S17FT	S17P	S18FT	S18P	S19FT	S19P	S20FT	S20P	S21FT	S21P	S22FT	S22P	S23FT	S23P
ENSG00000087152.15	305	1692	1697	794	1455	1608	1100	539	1581	1014	1263	1885	1307	1584	1671	1869
ENSG00000087157.18	233	1315	977	987	919	1092	666	610	762	540	804	1201	804	1271	1005	705
ENSG00000087191.12	2883	2184	4159	4408	2316	4492	5224	4316	2890	4685	2662	2723	2264	2292	2649	4704
ENSG00000087206.16	186	873	821	646	698	556	600	397	921	799	819	886	884	1043	705	543
ENSG00000087237.10	4	15	60	12	9	10	14	84	12	2	10	6	31	2	15	14
ENSG00000087245.12	2101	4736	7932	422	4342	363	6663	4055	6329	2850	30801	8901	6949	5132	3562	10223
ENSG00000087250.8	16	20	9	24	7	41	39	758	31	10	21	4	3	1	42	188
ENSG00000087253.12	96	304	732	166	772	209	387	58	1021	524	708	1303	716	1831	645	873
ENSG00000087258.13	142	18	218	26	327	9	177	591	346	82	530	36	1058	91	170	16
ENSG00000087263.16	225	802	865	1094	717	537	580	300	698	814	816	808	1015	865	756	674
ENSG00000087266.15	636	2231	2179	1294	2503	3346	1394	1410	1520	2917	1114	4274	1490	8209	1895	2253
ENSG00000087269.15	329	731	909	1391	872	1838	837	622	648	1355	652	1329	749	1426	875	754
ENSG00000087274.16	2193	5456	7662	2587	6880	3751	6202	3384	8419	3932	10335	5194	9140	4139	6195	5008
ENSG00000087299.11	98	450	310	341	405	507	165	160	245	692	220	303	211	365	286	135
ENSG00000087301.8	29	349	216	268	477	220	169	258	365	704	528	325	367	240	258	91
ENSG00000087302.8	1858	2081	2733	2258	1997	4397	3332	3337	1930	1695	2511	2207	1991	2306	1860	3099
ENSG00000087303.17	105	5390	716	118	706	100	501	1774	688	640	1275	1440	960	178	438	415
ENSG00000087338.4	149	980	553	503	786	891	388	513	518	713	648	803	579	773	623	482
ENSG00000087365.15	3666	4162	7458	6760	5306	10416	7258	4765	6096	5207	4762	5426	4379	4625	6069	6062
ENSG00000087448.9	331	1656	1296	451	1704	1036	972	708	1427	1054	2464	979	1539	1065	1285	500
ENSG00000087460.23	6380	12474	20045	30756	15101	17351	20070	20389	17715	19213	17909	13349	16403	17548	16836	18641
ENSG00000087470.17	641	1886	2103	2502	2321	2648	1436	1437	1783	1553	2486	1876	2774	2579	1692	947
ENSG00000087494.15	25	993	45	8	77	2	26	11	84	128	89	147	124	61	81	332
ENSG00000087495.16	10	507	36	3	33	2	117	62	19	151	102	231	41	35	63	8
ENSG00000087502.17	389	1028	978	1558	946	978	802	525	696	938	1172	807	1027	827	841	757
ENSG00000087510.6	41	65	199	467	176	96	193	3	116	514	14	940	45	1037	342	707
ENSG00000087586.17	13	193	101	889	208	1053	137	1223	54	113	97	186	52	88	59	64
ENSG00000087589.16	1	103	45	25	58	35	19	25	71	59	19	155	116	207	33	44
ENSG00000087842.10	395	311	393	320	369	360	508	297	284	354	289	306	368	268	208	142
ENSG00000087884.14	1215	206	601	795	348	506	1165	1514	602	363	573	232	395	201	300	853
ENSG00000087903.12	812	419	1459	44	1583	180	1513	273	1799	331	1507	1113	2135	415	2917	496
ENSG00000087995.15	114	259	276	594	324	570	266	305	280	650	232	338	249	361	292	277
ENSG00000088002.11	14	28	24	6	13	52	53	805	14	100	0	62	0	197	13	109
ENSG00000088035.15	247	522	454	495	424	762	356	788	300	291	299	413	253	482	381	263
ENSG00000088038.17	908	1532	1576	748	1111	1332	1421	1039	1223	1058	1195	1397	908	1289	1447	1532
ENSG00000088053.11	18	11	25	6	22	19	20	9	21	17	19	31	10	26	23	28
ENSG00000088179.8	302	980	468	476	823	512	434	446	405	812	567	900	388	798	638	285
ENSG00000088205.12	327	1479	1665	1812	2035	1789	1030	560	1893	1853	1705	1732	2132	1978	1741	1049
ENSG00000088247.16	1022	2036	3391	1698	2745	2472	2274	3207	3414	3336	2999	3547	2266	3540	3141	2200
ENSG00000088256.8	1132	1167	2724	525	1696	1011	2604	2751	2658	697	2797	1630	2501	1410	2209	2101
ENSG00000088280.18	535	2304	1694	204	1319	1730	1064	555	1603	1904	1841	1156	1171	577	1082	1906
ENSG00000088298.12	447	589	864	1364	569	1274	872	1000	548	796	399	627	528	825	671	2314
ENSG00000088305.18	16	323	128	31	207	436	86	481	77	171	95	134	70	241	76	45
ENSG00000088320.3	222	22	644	8	202	27	387	26	422	16	323	109	184	17	254	35
ENSG00000088325.15	21	376	130	1343	742	3672	227	2169	61	333	312	379	28	169	97	115
ENSG00000088340.15	192	1557	462	181	335	151	274	32	431	1111	328	309	149	332	241	1044
ENSG00000088356.5	466	375	458	697	381	1266	724	1748	265	341	387	327	191	348	345	529
ENSG00000088367.21	635	2258	2163	1295	2007	913	1544	974	2469	3073	2201	1687	2409	3060	2100	1636
ENSG00000088386.16	9	394	14	44	46	99	87	1145	8	121	7	24	2	28	13	22
ENSG00000088387.18	179	1543	1146	375	1817	697	605	474	1205	2122	1434	2471	1510	7873	1422	529
ENSG00000088448.14	1924	3704	4581	1378	3154	3454	4073	3855	4565	3400	4362	5055	3458	7094	3122	3107
ENSG00000088451.10	45	296	462	244	480	732	271	97	252	439	293	474	334	557	461	245
ENSG00000088538.12	24	178	113	68	249	4	147	588	298	350	524	114	303	75	133	76
ENSG00000088543.14	236	326	462	84	393	460	438	314	650	167	748	273	393	144	334	240
ENSG00000088682.13	280	907	1066	1737	909	1427	967	492	669	1277	823	1110	807	1028	940	871
ENSG00000088726.15	21	1	24	6	96	2	75	0	6	153	2	77	3	8	241	1
ENSG00000088727.12	674	174	321	281	395	870	823	565	256	295	107	742	129	599	614	128
ENSG00000088756.12	58	379	225	13	351	47	130	29	264	426	155	112	1339	68	189	67
ENSG00000088766.11	664	2763	1411	1440	1099	1790	1286	1303	943	1044	1014	1308	916	1691	1106	2096
ENSG00000088782.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000088808.16	610	3374	1453	1918	1162	1368	823	831	1241	1889	557	1222	721	1074	1334	870
ENSG00000088812.17	291	4120	1278	964	1817	1920	929	1166	967	986	1400	1786	1361	2557	1431	989
ENSG00000088826.17	150	359	265	152	203	306	366	503	216	72	397	372	115	617	220	526
ENSG00000088827.12	200	1589	939	415	550	636	1580	677	1239	525	996	399	2470	383	188	343
ENSG00000088832.15	3587	4184	4812	3816	3219	5572	5691	8349	3192	2159	4422	3343	3863	3457	3153	7505
ENSG00000088833.17	1649	2377	2273	1168	1740	2352	2706	2802	2264	1041	2128	1440	1909	1537	2189	2276
ENSG00000088836.12	71	382	426	476	519	3061	456	3279	221	306	22	2203	33	1872	332	773
ENSG00000088854.12	212	2951	1174	288	1604	464	800	469	1257	557	2285	951	1792	620	1358	541
ENSG00000088876.11	206	501	518	210	437	465	413	409	392	306	481	512	440	654	367	361
ENSG00000088881.20	480	696	1298	31	444	345	1139	1905	900	245	1168	572	360	401	652	1407
ENSG00000088882.7	1271	7487	3334	3937	1039	1720	2143	3312	986	2473	4291	2775	430	626	1425	4737
ENSG00000088888.17	2165	4415	3047	1955	3845	2498	3328	5615	2563	1783	3140	3630	2811	6200	3359	2467
ENSG00000088899.14	373	1272	1165	2614	873	2801	921	1862	1187	1343	542	1010	416	1073	771	300
ENSG00000088926.13	0	13	2	0	1	0	2	11	10	5	0	1	7	0	0	0
ENSG00000088930.7	377	2712	1958	1911	2355	2300	1317	1325	1749	1694	2151	2939	1907	4850	2518	1479
ENSG00000088970.15	680	1649	1019	384	870	368	912	1204	1285	839	1353	1501	911	4108	895	532
ENSG00000088986.10	3958	4070	5595	6558	4545	6433	8908	6719	3710	1885	6308	4142	3461	2672	6501	6158
ENSG00000088992.17	69	370	145	50	51	66	204	1138	134	158	96	123	62	77	39	32
ENSG00000089006.16	750	5460	3050	3095	2602	3222	1817	1505	2362	3380	2104	3075	2092	5743	2394	1668
ENSG00000089009.15	22081	12100	23623	33510	11247	27565	26712	32095	14803	15642	13249	17155	10247	23443	11659	23904
ENSG00000089012.14	7	12	33	5	10	25	28	3	8	4	7	15	14	1	13	20
ENSG00000089022.13	296	969	1033	1460	1130	1570	775	923	852	1833	691	1004	860	1195	902	664
ENSG00000089041.16	64	304	263	131	324	83	133	48	241	116	195	94	223	203	324	121
ENSG00000089048.14	70	613	399	115	551	504	225	267	351	543	423	535	623	784	476	198
ENSG00000089050.15	133	738	496	288	571	561	318	496	425	453	690	558	571	839	385	337
ENSG00000089053.12	1651	5421	4679	3195	4628	6091	3456	3437	3618	4602	4613	4020	2895	4552	3978	3011
ENSG00000089057.14	296	3273	1396	248	2187	471	757	970	1693	1867	1950	2556	1603	2293	1540	777
ENSG00000089060.11	399	2227	1019	828	683	1299	1106	1211	1031	1444	711	1372	926	1050	754	1191
ENSG00000089063.14	955	3606	3103	2439	2606	3122	2215	2756	2241	2314	3075	2360	2495	2930	2089	2203
ENSG00000089091.16	126	327	313	55	654	262	251	130	224	155	120	549	118	561	903	114
ENSG00000089094.17	419	696	1194	1123	1117	1377	629	971	1086	1061	715	790	623	1409	1013	393
ENSG00000089101.17	106	26	82	4	465	47	166	62	30	29	4	296	15	137	756	0
ENSG00000089116.3	0	1	1	0	0	2	1	22	0	0	0	0	0	0	0	1
ENSG00000089123.15	70	366	327	152	402	424	259	152	329	358	294	587	294	685	430	221
ENSG00000089127.12	159	886	596	1591	534	1639	1024	387	2051	1900	341	355	454	735	291	780
ENSG00000089154.10	1517	3811	2580	2891	2931	4052	2333	2838	2787	3227	2921	3560	2334	3069	2828	1808
ENSG00000089157.15	42021	20776	46394	82001	16901	44894	50671	51957	22740	30114	17181	36276	11610	49312	21601	32970
ENSG00000089159.16	2018	2265	5439	2549	4429	1887	4801	2136	5605	5553	6544	4464	5596	4255	4579	4611
ENSG00000089163.4	56	57	85	23	30	40	53	56	31	31	47	24	15	11	28	30
ENSG00000089169.14	0	1	3	0	2	1	4	1	7	1	0	0	1	2	0	1
ENSG00000089177.18	59	1291	345	115	519	265	183	154	421	551	483	528	476	475	419	141
ENSG00000089195.14	92	771	439	410	434	762	294	433	498	425	236	559	505	688	417	298
ENSG00000089199.9	101	933	590	9	309	3	315	2387	808	105	155	268	14	45	356	47
ENSG00000089220.4	6428	6316	8738	11395	5488	8933	8698	8618	7170	6816	6265	5722	5724	5643	5709	9869
ENSG00000089225.19	0	0	0	0	4	0	0	0	2	0	0	0	0	1	11	359
ENSG00000089234.15	417	548	613	734	699	932	539	607	534	913	581	607	654	569	594	453
ENSG00000089248.6	4488	3686	4666	9645	2397	5595	6058	11206	2487	3867	2643	3327	1769	2921	3238	6016
ENSG00000089250.18	17	270	50	1	40	0	50	3	78	22	16	118	54	35	19	115
ENSG00000089280.18	3744	15770	12146	8712	9189	8144	8601	6656	10568	11088	8904	12238	6874	11554	10112	6917
ENSG00000089289.15	1834	1354	2474	2200	1681	1664	2824	3077	2084	1626	2592	2579	1227	3575	1667	2316
ENSG00000089327.14	1381	208	2300	308	589	1189	2168	1960	1363	1386	823	730	865	1153	1143	3706
ENSG00000089335.20	385	1412	1448	1115	1733	1399	1045	2149	1240	2376	1525	982	960	1478	1283	526
ENSG00000089351.14	560	4172	2942	2396	1394	1854	1891	4035	2124	3164	1245	2841	1490	2875	2604	3343
ENSG00000089356.17	1480	268	859	2201	701	987	1282	1413	594	6499	6	1133	42	1659	1185	359
ENSG00000089472.16	407	1918	960	64	815	49	1162	699	1102	517	5354	1564	2829	268	485	1735
ENSG00000089486.16	387	1103	1157	99	741	669	874	650	1195	605	1292	541	687	203	600	1882
ENSG00000089505.17	0	10	4	6	12	3	1	0	5	14	14	19	3	38	12	5
ENSG00000089558.8	3	22	6	3	8	1	11	49	8	9	19	5	9	1	12	1
ENSG00000089597.16	2346	10452	8834	12202	8202	10432	6162	4379	7787	9613	8555	11303	7059	9484	8129	7475
ENSG00000089639.10	120	368	499	464	257	298	330	319	372	229	140	546	267	404	390	408
ENSG00000089682.16	48	198	141	119	284	168	84	109	99	340	282	364	151	540	290	70
ENSG00000089685.14	33	115	151	2458	346	3391	154	1465	34	57	177	163	14	72	51	148
ENSG00000089692.8	75	80	163	81	85	367	178	111	300	79	109	56	85	17	103	130
ENSG00000089693.10	2051	2799	4297	7323	2763	8259	4259	3847	3710	3277	3143	2639	2400	2272	2481	4629
ENSG00000089723.9	27	104	40	75	71	108	39	71	16	107	19	139	10	68	44	41
ENSG00000089737.15	2014	4284	5402	5470	5137	4405	4568	2653	5738	4193	5007	4911	6128	4416	5493	4328
ENSG00000089775.11	267	587	612	210	871	677	529	268	497	491	857	797	580	669	720	525
ENSG00000089818.16	213	747	744	737	1008	592	483	454	927	977	844	855	1226	809	1035	513
ENSG00000089820.15	794	560	1642	1839	705	2599	1485	5069	889	798	567	367	722	723	638	991
